iter	Passed	Remaining
0	59	59620
1	62	31426
2	72	24047
3	75	18824
4	78	15718
5	82	13593
6	85	12069
7	87	10907
8	90	9993
9	93	9258
10	96	8651
11	99	8162
12	101	7715
13	104	7355
14	106	7015
15	109	6718
16	111	6452
17	113	6209
18	116	6007
19	118	5814
20	120	5636
21	123	5473
22	125	5317
23	127	5183
24	129	5053
25	132	4948
26	134	4837
27	136	4734
28	138	4638
29	140	4546
30	142	4468
31	145	4395
32	147	4317
33	149	4245
34	151	4175
35	153	4111
36	155	4054
37	158	4010
38	161	3970
39	163	3929
40	166	3890
41	168	3851
42	170	3803
43	173	3776
44	175	3734
45	178	3696
46	181	3673
47	183	3648
48	186	3618
49	188	3584
50	190	3551
51	193	3521
52	195	3491
53	197	3464
54	200	3441
55	202	3421
56	205	3397
57	207	3370
58	209	3344
59	211	3320
60	214	3299
61	216	3281
62	219	3258
63	221	3236
64	223	3214
65	226	3206
66	228	3184
67	231	3167
68	233	3148
69	235	3131
70	237	3112
71	240	3095
72	242	3081
73	244	3065
74	247	3049
75	249	3035
76	252	3022
77	254	3005
78	256	2989
79	258	2975
80	261	2963
81	263	2949
82	265	2937
83	268	2924
84	270	2915
85	273	2904
86	275	2893
87	278	2881
88	280	2871
89	283	2863
90	285	2852
91	288	2843
92	290	2831
93	292	2823
94	295	2813
95	298	2814
96	301	2804
97	303	2794
98	305	2784
99	308	2775
100	310	2765
101	313	2756
102	315	2747
103	318	2739
104	320	2730
105	322	2721
106	325	2713
107	327	2704
108	329	2695
109	332	2688
110	334	2679
111	337	2672
112	339	2664
113	341	2656
114	344	2648
115	346	2639
116	348	2632
117	351	2625
118	353	2618
119	356	2610
120	358	2603
121	361	2598
122	363	2593
123	365	2585
124	368	2578
125	370	2570
126	372	2563
127	375	2557
128	378	2553
129	380	2546
130	382	2540
131	385	2534
132	387	2528
133	390	2522
134	392	2516
135	395	2510
136	397	2504
137	399	2497
138	402	2490
139	404	2483
140	406	2476
141	408	2471
142	411	2464
143	413	2458
144	416	2453
145	419	2451
146	421	2444
147	423	2439
148	426	2433
149	428	2429
150	431	2424
151	434	2424
152	437	2419
153	439	2414
154	441	2408
155	444	2405
156	447	2401
157	449	2396
158	452	2391
159	454	2387
160	457	2384
161	459	2377
162	462	2372
163	464	2370
164	467	2364
165	469	2360
166	472	2355
167	474	2350
168	476	2345
169	479	2340
170	481	2335
171	484	2330
172	486	2326
173	488	2320
174	491	2315
175	493	2311
176	495	2305
177	498	2300
178	500	2296
179	503	2291
180	505	2287
181	508	2284
182	510	2279
183	513	2277
184	516	2274
185	518	2269
186	520	2264
187	523	2260
188	525	2256
189	528	2251
190	530	2247
191	533	2244
192	535	2239
193	538	2235
194	540	2231
195	542	2227
196	545	2222
197	547	2219
198	550	2215
199	552	2211
200	555	2208
201	557	2204
202	560	2199
203	562	2196
204	565	2192
205	567	2188
206	570	2184
207	572	2179
208	575	2176
209	577	2172
210	579	2168
211	582	2164
212	584	2161
213	587	2157
214	589	2154
215	592	2151
216	595	2147
217	597	2143
218	599	2139
219	602	2135
220	604	2132
221	607	2128
222	609	2124
223	612	2120
224	614	2116
225	616	2112
226	619	2108
227	621	2104
228	624	2101
229	626	2096
230	628	2092
231	630	2088
232	633	2084
233	635	2079
234	637	2076
235	640	2072
236	642	2068
237	645	2065
238	647	2062
239	650	2059
240	652	2055
241	655	2053
242	657	2049
243	660	2045
244	662	2042
245	665	2038
246	667	2035
247	670	2031
248	672	2028
249	674	2024
250	677	2020
251	679	2017
252	682	2014
253	684	2011
254	687	2007
255	689	2004
256	691	2000
257	694	1997
258	697	1994
259	699	1991
260	701	1986
261	704	1983
262	706	1980
263	709	1977
264	711	1973
265	714	1970
266	716	1966
267	719	1963
268	721	1960
269	723	1957
270	726	1954
271	729	1951
272	731	1947
273	733	1943
274	735	1940
275	739	1940
276	742	1937
277	744	1933
278	746	1929
279	748	1925
280	751	1921
281	755	1923
282	760	1926
283	766	1931
284	769	1930
285	773	1930
286	776	1927
287	778	1925
288	783	1927
289	786	1925
290	789	1922
291	791	1918
292	793	1915
293	796	1912
294	798	1909
295	801	1905
296	803	1901
297	806	1899
298	808	1895
299	811	1892
300	814	1891
301	817	1889
302	819	1885
303	821	1881
304	824	1879
305	827	1876
306	830	1874
307	833	1873
308	836	1870
309	838	1867
310	841	1863
311	844	1861
312	847	1859
313	850	1857
314	852	1854
315	855	1851
316	857	1848
317	860	1846
318	863	1844
319	866	1841
320	869	1838
321	871	1835
322	874	1832
323	876	1829
324	880	1828
325	883	1826
326	885	1822
327	887	1818
328	890	1815
329	892	1812
330	896	1811
331	900	1810
332	902	1807
333	904	1803
334	906	1800
335	909	1796
336	912	1794
337	914	1791
338	917	1788
339	919	1784
340	922	1782
341	924	1778
342	927	1776
343	930	1774
344	933	1771
345	935	1767
346	937	1765
347	940	1761
348	943	1759
349	946	1757
350	949	1755
351	951	1752
352	954	1749
353	956	1746
354	959	1743
355	962	1741
356	964	1738
357	967	1734
358	969	1731
359	972	1728
360	974	1725
361	977	1723
362	980	1721
363	984	1719
364	986	1716
365	989	1713
366	991	1709
367	994	1708
368	997	1705
369	999	1701
370	1001	1698
371	1004	1695
372	1006	1692
373	1009	1689
374	1011	1686
375	1014	1683
376	1016	1680
377	1019	1677
378	1021	1674
379	1024	1671
380	1026	1668
381	1029	1665
382	1031	1662
383	1034	1658
384	1036	1655
385	1039	1653
386	1041	1650
387	1044	1647
388	1046	1643
389	1048	1640
390	1051	1637
391	1053	1634
392	1056	1631
393	1058	1628
394	1060	1625
395	1063	1621
396	1065	1618
397	1067	1615
398	1070	1611
399	1072	1608
400	1074	1605
401	1077	1602
402	1079	1599
403	1081	1595
404	1083	1592
405	1086	1589
406	1088	1585
407	1090	1582
408	1092	1579
409	1095	1575
410	1097	1573
411	1099	1569
412	1102	1566
413	1104	1563
414	1107	1560
415	1109	1557
416	1112	1554
417	1114	1551
418	1117	1549
419	1119	1546
420	1122	1544
421	1125	1541
422	1127	1538
423	1130	1535
424	1132	1532
425	1135	1530
426	1138	1527
427	1140	1524
428	1142	1521
429	1145	1518
430	1147	1515
431	1150	1512
432	1152	1509
433	1154	1505
434	1157	1503
435	1160	1500
436	1162	1497
437	1165	1495
438	1167	1492
439	1170	1489
440	1172	1486
441	1175	1483
442	1177	1480
443	1180	1477
444	1182	1474
445	1184	1471
446	1188	1470
447	1191	1467
448	1193	1464
449	1195	1461
450	1198	1458
451	1201	1457
452	1204	1454
453	1207	1452
454	1209	1449
455	1212	1446
456	1214	1443
457	1217	1440
458	1220	1438
459	1222	1435
460	1225	1432
461	1227	1429
462	1230	1426
463	1232	1423
464	1234	1420
465	1237	1417
466	1239	1414
467	1241	1411
468	1244	1409
469	1246	1406
470	1249	1403
471	1251	1400
472	1254	1397
473	1256	1394
474	1259	1391
475	1262	1389
476	1265	1387
477	1268	1385
478	1271	1383
479	1273	1380
480	1276	1377
481	1278	1373
482	1280	1370
483	1283	1367
484	1285	1365
485	1289	1363
486	1291	1360
487	1294	1358
488	1297	1355
489	1300	1353
490	1302	1350
491	1305	1347
492	1307	1344
493	1309	1341
494	1312	1338
495	1314	1335
496	1316	1332
497	1320	1330
498	1322	1327
499	1325	1325
500	1327	1322
501	1330	1319
502	1333	1317
503	1335	1314
504	1337	1311
505	1341	1309
506	1343	1306
507	1346	1303
508	1348	1300
509	1350	1297
510	1352	1294
511	1355	1291
512	1357	1288
513	1360	1286
514	1362	1283
515	1365	1280
516	1368	1278
517	1370	1275
518	1373	1272
519	1375	1269
520	1377	1266
521	1380	1263
522	1382	1260
523	1384	1258
524	1387	1255
525	1389	1252
526	1392	1249
527	1395	1247
528	1397	1244
529	1399	1241
530	1402	1238
531	1404	1235
532	1406	1232
533	1408	1229
534	1411	1226
535	1413	1223
536	1416	1221
537	1418	1218
538	1421	1215
539	1423	1212
540	1426	1210
541	1428	1207
542	1431	1204
543	1433	1201
544	1435	1198
545	1438	1195
546	1440	1193
547	1443	1190
548	1445	1187
549	1448	1184
550	1450	1182
551	1453	1179
552	1455	1176
553	1458	1174
554	1460	1171
555	1463	1168
556	1465	1165
557	1467	1162
558	1470	1160
559	1472	1157
560	1475	1154
561	1477	1151
562	1480	1148
563	1482	1145
564	1484	1143
565	1487	1140
566	1489	1137
567	1492	1134
568	1494	1132
569	1497	1129
570	1499	1126
571	1502	1123
572	1504	1121
573	1506	1118
574	1509	1115
575	1511	1112
576	1514	1110
577	1516	1107
578	1519	1104
579	1521	1101
580	1524	1099
581	1526	1096
582	1528	1093
583	1531	1090
584	1533	1087
585	1536	1085
586	1539	1082
587	1541	1080
588	1544	1077
589	1546	1074
590	1548	1071
591	1551	1069
592	1553	1066
593	1556	1063
594	1558	1061
595	1561	1058
596	1563	1055
597	1566	1052
598	1568	1050
599	1571	1047
600	1573	1044
601	1575	1041
602	1578	1039
603	1581	1036
604	1583	1034
605	1586	1031
606	1588	1028
607	1591	1026
608	1593	1023
609	1596	1020
610	1598	1017
611	1600	1014
612	1603	1012
613	1605	1009
614	1608	1006
615	1610	1003
616	1612	1001
617	1615	998
618	1617	995
619	1620	993
620	1622	990
621	1625	988
622	1628	985
623	1630	982
624	1633	979
625	1635	977
626	1638	974
627	1640	971
628	1642	968
629	1645	966
630	1648	963
631	1650	961
632	1653	958
633	1655	955
634	1658	953
635	1660	950
636	1663	947
637	1665	945
638	1667	942
639	1670	939
640	1673	937
641	1675	934
642	1677	931
643	1679	928
644	1682	925
645	1684	923
646	1687	920
647	1689	917
648	1692	915
649	1694	912
650	1697	909
651	1699	907
652	1702	904
653	1704	901
654	1706	899
655	1709	896
656	1711	893
657	1714	891
658	1716	888
659	1719	885
660	1721	883
661	1724	880
662	1726	877
663	1729	875
664	1732	872
665	1734	870
666	1737	867
667	1741	865
668	1743	862
669	1745	859
670	1748	857
671	1750	854
672	1752	851
673	1755	849
674	1758	846
675	1760	843
676	1762	840
677	1765	838
678	1767	835
679	1770	832
680	1772	830
681	1774	827
682	1777	824
683	1779	822
684	1781	819
685	1784	817
686	1787	814
687	1790	811
688	1792	809
689	1794	806
690	1797	803
691	1800	801
692	1802	798
693	1805	795
694	1807	793
695	1810	790
696	1813	788
697	1815	785
698	1818	782
699	1820	780
700	1822	777
701	1825	774
702	1827	772
703	1829	769
704	1832	766
705	1835	764
706	1837	761
707	1839	758
708	1842	756
709	1844	753
710	1846	750
711	1849	748
712	1851	745
713	1854	742
714	1856	740
715	1858	737
716	1861	734
717	1863	731
718	1865	729
719	1868	726
720	1870	723
721	1873	721
722	1875	718
723	1878	716
724	1880	713
725	1882	710
726	1885	707
727	1887	705
